SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
11-AA-0036,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Glenn
11-AA-0036,Inert Debris Type A Disposal Facility,Inactive,Disposal,Solid Waste Facility,Glenn
34-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
30-AB-0466,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
20-AA-0036,Emergency Transfer/Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Madera
11-AA-0037,Research Composting Operation,Active,Composting,Solid Waste Operation,Glenn
48-AA-0094,Secondary Material Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Solano
01-AA-0324,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Alameda
29-CR-0034,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Nevada
05-AA-0042,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Calaveras
04-AA-0032,Limited Volume In-Vessel Digestion Operation,Active,In-Vessel Digestion,Solid Waste Operation,Butte
30-AB-0468,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Orange
07-AA-0072,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Contra Costa
15-AA-0406,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,Kern
12-AA-0131,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
23-AA-0052,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Mendocino
04-AA-0033,Emergency Transfer/Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Butte
